week_start_date,year,month,week_of_year,grade,demand_kg,production_kg,inventory_kg,colombo_auction_price_lkr,auction_price_lag1w,auction_price_lag4w,rainfall_index,usd_lkr_rate,festival_flag,global_commodity_shock,demand_rolling4w_avg,demand_rolling12w_avg
2021-01-04,2021,1,1,BOP,3064,2712,0,1514.36,1500.32,1486.15,17.9,313.24,0,0.0199,,
2021-01-11,2021,1,2,BOP,2704,2629,136,1404.99,1396.53,1321.9,32.3,305.15,0,-0.0423,3064.0,3064.0
2021-01-18,2021,1,3,BOP,3013,2653,0,1518.83,1521.47,1500.66,35.1,314.3,0,-0.0029,2884.0,2884.0
2021-01-25,2021,1,4,BOP,3007,3017,502,1424.08,1421.96,1314.78,0.0,311.59,0,-0.0094,2927.0,2927.0
2021-02-01,2021,2,5,BOP,2966,3105,0,1519.31,1470.46,1530.53,31.1,310.25,0,-0.0425,2947.0,2947.0
2021-02-08,2021,2,6,BOP,3501,3445,488,1573.28,1599.31,1574.1,36.4,325.41,0,0.0165,2922.0,2951.0
2021-02-15,2021,2,7,BOP,3151,3365,404,1514.08,1529.68,1747.41,6.9,318.72,0,0.0023,3122.0,3042.0
2021-02-22,2021,2,8,BOP,3251,3016,0,1489.73,1486.31,1519.82,24.7,314.58,0,0.0087,3156.0,3058.0
2021-03-01,2021,3,9,BOP,3409,3286,0,1549.51,1519.09,1578.15,16.3,326.79,1,-0.0101,3217.0,3082.0
2021-03-08,2021,3,10,BOP,3136,3095,178,1697.46,1677.38,1734.61,47.2,322.45,1,0.0123,3328.0,3118.0
2021-03-15,2021,3,11,BOP,3385,3282,0,1545.71,1520.29,1560.78,21.5,320.23,1,-0.0005,3237.0,3120.0
2021-03-22,2021,3,12,BOP,2884,3034,186,1709.03,1741.82,1856.22,45.4,318.25,1,0.0161,3295.0,3144.0
2021-03-29,2021,3,13,BOP,3336,3438,244,1547.86,1514.81,1539.04,55.3,319.95,1,-0.0685,3204.0,3123.0
2021-04-05,2021,4,14,BOP,3496,3062,0,1459.3,1457.68,1481.72,32.3,310.45,1,-0.0703,3185.0,3145.0
2021-04-12,2021,4,15,BOP,4166,4103,52,1532.78,1486.33,1616.58,53.2,320.07,1,-0.028,3275.0,3211.0
2021-04-19,2021,4,16,BOP,3118,3127,0,1662.9,1646.7,1623.5,34.4,319.51,1,0.0216,3470.0,3307.0
2021-04-26,2021,4,17,BOP,3802,3544,0,1660.97,1694.4,1622.64,36.4,323.34,1,0.0104,3529.0,3317.0
2021-05-03,2021,5,18,BOP,3242,3403,0,1913.09,1977.23,1938.11,78.1,318.07,0,0.083,3646.0,3386.0
2021-05-10,2021,5,19,BOP,3049,2821,0,1877.26,1892.78,2018.19,57.3,317.78,0,0.0415,3582.0,3365.0
2021-05-17,2021,5,20,BOP,2945,2885,273,1789.75,1792.37,1697.4,65.8,323.91,0,-0.005,3303.0,3356.0
2021-05-24,2021,5,21,BOP,3287,3213,0,1759.12,1802.96,1613.23,56.8,317.47,0,-0.0229,3260.0,3331.0
