model,MAE,RMSE,MAPE,sMAPE,grade
Naive Seasonal (BOP),530.77,652.44,12.74,13.43,BOP
Naive Seasonal (BOPF),708.21,870.24,14.91,15.37,BOPF
Naive Seasonal (Dust),1045.88,1378.82,15.15,16.26,Dust
Naive Seasonal (OP),225.9,269.72,9.59,9.58,OP
Naive Seasonal (Pekoe),176.63,223.26,10.79,11.34,Pekoe
Holt-Winters (BOP),402.34,522.67,9.42,9.88,BOP
Holt-Winters (BOPF),538.62,690.4,11.31,11.71,BOPF
Holt-Winters (Dust),897.84,1146.85,13.29,13.91,Dust
Holt-Winters (OP),195.77,248.91,8.28,8.28,OP
Holt-Winters (Pekoe),150.99,187.57,9.0,9.43,Pekoe
SARIMA (BOP),517.11,665.16,12.26,12.8,BOP
SARIMA (BOPF),660.43,818.91,13.46,14.12,BOPF
SARIMA (Dust),1252.07,1547.77,17.96,18.69,Dust
SARIMA (OP),272.45,335.37,11.02,11.52,OP
SARIMA (Pekoe),225.09,293.43,12.9,13.94,Pekoe
